college,rank
Bryn Mawr College,117
University of Central Florida,118
The University of Tulsa,119
Brandeis University,120
Trinity College - Connecticut,121
Union College - New York,122
University of Iowa,123
University of Utah,124
Wheaton College - Illinois,125
University of Alabama - Birmingham,126
Arizona State University,127
United States Merchant Marine Academy,128
Occidental College,129
Florida International University,130
University of Cincinnati,131
Saint Louis University,132
Iowa State University,133
University of Mississippi,134
Auburn University,135
University of South Carolina,136
Mount Holyoke College,137
Worcester Polytechnic Institute,138
University of Oklahoma,139
St. Olaf College,140
University of South Florida - Sarasota-Manatee,141
Denison University,142
University of Delaware,143
University of Connecticut,144
Loyola Marymount University,145
University of San Diego,146
American University,147
Texas Tech University,148
Stevens Institute of Technology,149
University of Dayton,150
Creighton University,151
California Polytechnic State University (Cal Poly) - San Luis Obispo,152
Wabash College,153
Yeshiva University,154
University of Kansas,155
University of Missouri,156
Rhode Island School of Design,157
The University of Alabama,158
University of Portland,159
University of Nebraska - Lincoln,160
Bentley University,161
SUNY College of Environmental Science & Forestry,162
University of Colorado Denver,163
Furman University,164
University of Arkansas,165
"Binghamton University, SUNY",166
Harding University,167
California State University - Long Beach,168
University of Arizona,169
Gettysburg College,170
James Madison University,171
Baylor University,172
Connecticut College,173
Clark University,174
Point Loma Nazarene University,175
Rhodes College,176
DePauw University,177
Mississippi College,178
Oregon State University,179
Andrews University,180
University of South Florida - St. Petersburg,181
Drake University,182
University of Colorado Boulder,183
San Diego State University,184
Kansas State University,185
New Mexico Tech,186
Lewis & Clark College,187
South Dakota School of Mines & Technology,188
Virginia Military Institute,189
Johnson University,190
Mississippi State University,191
Fairfield University,192
Washington State University,193
College of the Ozarks,194
Lipscomb University,195
Chapman University,196
Union University,197
Lawrence University,198
Cedarville University,199
University of Wyoming,200
Franciscan Missionaries of Our Lady University,201
Embry-Riddle Aeronautical University - Daytona Beach,202
University of St. Thomas - Minnesota,203
Drexel University,204
Florida Institute of Technology,205
Syracuse University,206
University of San Francisco,207
John Brown University,208
Oberlin College,209
College of Wooster,210
CUNY John Jay College of Criminal Justice,211
"University at Buffalo, SUNY",212
DePaul University,213
University of Louisville,214
Franklin & Marshall College,215
Ouachita Baptist University,216
Temple University,217
Rollins College,218
"University of Maryland, Baltimore County",219
University of Texas - Dallas,220
Hendrix College,221
Illinois Wesleyan University,222
University of Kentucky,223
Louisiana Tech University,224
Colorado State University,225
Thomas Jefferson University,226
"Stony Brook University, SUNY",227
Marquette University,228
University of Illinois Chicago,229
West Virginia University,230
University of Tennessee,231
University of Houston,232
The College of New Jersey,233
Ohio University,234
Hope College,235
Moody Bible Institute,236
Gustavus Adolphus College,237
Muhlenberg College,238
Lake Forest College,239
Nova Southeastern University,240
Liberty University,241
Samford University,242
Mercer University,243
St. Bonaventure University,244
Loyola University Chicago,245
University of Oregon,246
Whitman College,247
Hallmark University,248
College of Saint Mary,249
CUNY Baruch College,250
University of Idaho,251
Appalachian State University,252
University of North Carolina - Wilmington,253
The Catholic University of America,254
Dordt University,255
William Carey University,256
Ohio Northern University,257
University of Denver,258
Seattle University,259
Northwestern College - Iowa,260
University of North Carolina School of the Arts,261
Rochester Institute of Technology,262
University of Wisconsin - La Crosse,263
University of Scranton,264
Sewanee - The University of the South,265
Missouri University of Science and Technology,266
Dickinson College,267
Biola University,268
St. Catherine University,269
Rutgers University - Newark,270
Calvin University,271
The University of Alabama in Huntsville,272
Gonzaga University,273
University of New Hampshire,274
Maine Maritime Academy,275
Hampden-Sydney College,276
University of California - Riverside,277
Taylor University,278
Luther College,279
Louisiana State University,280
West Texas A&M University,281
Wayne State University,282
St. Lawrence University,283
Augustana University,284
Augustana College - Illinois,285
University of Missouri - Kansas City,286
Virginia Commonwealth University,287
Maryville University,288
Clarkson University,289
Bob Jones University,290
University of Vermont,291
Fordham University,292
Fashion Institute of Technology,293
Albany College of Pharmacy & Health Sciences,294
University of Dallas,295
Montana State University,296
University of Mary,297
Montana Technological University,298
Oral Roberts University,299
The University of Baltimore,300
