rank,REGION,CONTROL,CCBASIC,college,ACCREDAGENCY,ADM_RATE,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,NPT4_PUB,NPT4_PRIV,COSTT4_A,COSTT4_P,AVGFACSAL,PCTPELL,C150_4,AGE_ENTRY,FEMALE,MARRIED,FIRST_GEN,FAMINC,MD_FAMINC,ENDOWBEGIN,SAT_AVG,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID
11,Mid East,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,University of Pennsylvania,Middle States Commission on Higher Education,-2.1758143697163095,0.10166115799209134,-1.1086620713987323,0.02616767951049737,-0.24174632939030805,2.0162056923128224,-0.1193436259058106,-0.3672056609836894,0.21318965402714113,1.3108904530418475,0.14686924855955666,NA,-0.3098255866373039,1.5939330866257524,NA,3.0189875790057656,-1.186531059763741,1.6614331647790492,0.4004876274239721,0.05705769968149072,-0.4984620287802348,-0.7210712336373971,-0.37462949525750344,-0.9578591523676081,3.9977502254266066,2.1691298002645594,2.177862765152957,2.2004096150445953,1.9061638474482665,1.89113331617167,1.8581008130202674,2.0538840355642423,0.8917158000522517
12,Mid East,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Columbia University,Middle States Commission on Higher Education,-2.2736831627451575,-0.10959259244951916,-1.354710562110216,-0.08360351843607994,0.1468304327578445,1.157543163839065,-0.019380934027152276,-0.23278761536569992,0.5262231567332234,2.411766449055797,0.5141593519733677,NA,-0.6007686457575062,1.6706537839445756,NA,3.3551295657558327,-0.2753585020940183,1.7090400363284153,0.7025373606229608,-1.089718140492707,-0.15062861095156593,-0.08449628193581193,-0.6137024649550367,-1.3186135968863901,2.905082456114906,2.1691298002645594,2.264360105546537,2.1306016242952657,1.968410020681507,1.89113331617167,1.8581008130202674,2.0538840355642423,0.8917158000522517
13,Southeast,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Vanderbilt University,Southern Association of Colleges and Schools Commission on Colleges,-2.064446432821413,-0.20774185505401477,-0.8375826736235265,0.42740033407384886,-0.2553329294654183,1.027672032513372,-0.045085626224521565,0.4729071241287448,0.4937001954131109,0.7460932029129516,0.6365893864446381,NA,-0.9741652034137982,1.346798257282893,NA,1.5579278370148681,-0.8890970197354587,1.463189625043627,-0.8387398073948967,-0.3472488701791006,NA,-1.383194514174353,0.39337779802805145,-0.1837283335598338,1.5226812683574888,2.193321917268794,2.264360105546537,2.2004096150445953,1.843917674215026,1.89113331617167,1.8581008130202674,2.0538840355642423,0.8917158000522517
14,Great Lakes,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Northwestern University,Higher Learning Commission,-2.1618933776044478,-0.08693587398333541,-0.8721998855201638,-0.19337471638265735,0.010964432006742103,1.4538510848248696,-0.12505577972744822,-0.43441468379268416,0.7172955544888838,0.8360778495436572,0.23290116467450334,NA,-0.5410880182456698,1.6168904308362442,NA,2.601792566223062,-0.6653475455147874,1.6195106958027412,-0.47844802380875046,-0.3818343994373009,-0.7829981578246006,-1.0863126843733377,0.531897610310805,-0.15335324537791442,2.105770970261502,2.0723613322476218,2.0048680843657962,1.9909856427966062,1.7816715009817856,1.89113331617167,1.8581008130202674,2.0538840355642423,0.8917158000522517
15,Plains,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Washington University in St. Louis,Higher Learning Commission,-1.8788332046632528,-0.1796224495268144,-0.5601124059597108,0.13972409117937037,-0.21366735590174687,1.3038057971767387,-0.1221997028166294,-0.09836956974771045,0.3839352009577313,0.30191367060819274,-0.21049409530252983,NA,-0.06442826956560833,1.5313399857441548,NA,1.880034667741968,-1.106556348094505,1.5775882268264332,-0.6509120478262901,-0.29091023932107,-0.8714994274713495,-1.466093501058806,1.4379983083963428,1.1107796057108716,2.0360896846608862,2.193321917268794,2.177862765152957,2.270217605793925,1.843917674215026,1.89113331617167,1.8581008130202674,2.0538840355642423,0.8917158000522517
16,Great Lakes,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,University of Chicago,Higher Learning Commission,-2.2462630267672474,-0.21150304942389506,-1.198134249839272,-0.2779111561805962,0.15860548615627332,1.5837222161505626,-0.14219224119236107,-0.46801919519718155,1.1278979411553034,1.7914467573888064,-0.36932224813012376,NA,0.14445392672581894,1.7580192327456143,NA,2.9242502758507363,-1.2889705780816387,1.6926973789308717,-0.6640883229808707,-0.43037619453579323,NA,-0.5711805516780745,0.7324545393164165,-0.6484989337064568,1.8103138426997682,2.330410580292789,2.3508574459401177,2.3400255965432546,1.968410020681507,2.157264318616988,2.090363414647801,2.0538840355642423,NA
17,Mid East,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Georgetown University,Middle States Commission on Higher Education,-1.8455071932439466,-0.20174185451158666,-0.47064022751917106,-0.1302878210110612,-0.3060562364124964,0.538448741694256,-0.1307679335490858,-0.33360114957919207,0.39206594128775935,1.6516833700687745,-0.018576743969186994,NA,0.6144388683815303,1.5004358685377235,NA,1.8579292970057943,-1.1568775149875075,1.5676405223235808,-0.6162412344174726,0.22088398613290303,-0.8617658504024845,-0.9944097882707824,1.044908045404566,0.6706900876688605,0.2086545247690867,1.814312084202455,1.9183707439722162,1.7117536797992876,NA,1.6250023137263518,1.8581008130202674,1.7780205953808015,NA
18,Far West,"Private, Nonprofit",Baccalaureate Colleges: Arts & Sciences Focus,Harvey Mudd College,Western Association of Schools and Colleges Senior Colleges and University Commission,-1.7969946449753367,-0.7652045920184172,-1.6225945249411169,-0.4482457736839059,0.6721789689954398,1.9065087173095667,-0.08507070297598489,0.6409296811512316,2.359705101154563,0.3536069782471088,1.2983733565596132,NA,0.7923028437950953,1.660303357388136,NA,1.5063486386304632,-1.1541817381896682,1.460347423757098,-0.9897691821990504,-1.190730833853132,NA,NA,1.6185442568499502,1.7927691291486842,-0.2326387714041413,2.3062184632885545,2.264360105546537,2.3400255965432546,1.7194253277485452,2.157264318616988,1.8581008130202674,2.6056109159311234,NA
19,Great Lakes,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,University of Notre Dame,Higher Learning Commission,-1.7535442756564945,-0.04636870613676926,0.5140863078174805,-0.5327822134818447,-0.12580734208270075,-0.36560563850498634,-0.07650247224352845,-0.1655785925567052,0.4367850131029141,-0.008246175225302632,-0.6141823170726645,NA,0.4826441492928917,1.397029711281918,NA,1.5838928756573576,-1.3932072809314295,1.7303565459773853,-0.8731087530931994,-0.9687818717631133,NA,-1.5845359453564771,2.0241009667161336,2.107167167313178,3.086816287194778,1.9433367082250386,1.9183707439722162,1.851369661297947,NA,1.89113331617167,NA,NA,NA
20,Far West,"Private, Nonprofit",Baccalaureate Colleges: Arts & Sciences Focus,Pomona College,Western Association of Schools and Colleges Senior Colleges and University Commission,-2.1910009065656135,-0.708338915235703,-1.4979725621132225,0.3971186242954827,0.5118570881091392,1.3214581839588717,-0.11363147208417297,0.5737206583422368,1.0465905378550222,1.0351928123009626,0.36525795869749844,NA,-1.2386707915748099,1.4100781163246334,NA,1.2688036229417414,-0.43440933316654406,1.5512978649260365,-0.9061753443621641,-0.5881173899325003,NA,0.4086150284919296,-0.5515709758830155,-0.8369091496697074,0.35594162043186434,NA,NA,NA,1.7816715009817856,NA,NA,NA,NA
21,Mid East,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Johns Hopkins University,Middle States Commission on Higher Education,-2.088069934586997,-0.3241597760265004,-1.7232507256867238,0.0400467964922484,0.3316081937793436,2.4360803207735584,-0.13362401045990463,-0.2663921267701973,0.9937407257098397,1.2630262793021108,0.18657628676645516,NA,-0.521587111449039,1.3886414508973153,NA,1.8663503906195749,-0.9322294485008896,1.5804304281129622,-0.22554523996910927,-0.44730353242917087,-0.5005685404523416,-1.2918999530904622,0.8912092234084893,0.7206026019078611,1.5241766884809744,2.2900903852857315,2.177862765152957,2.2004096150445953,1.7194253277485452,2.157264318616988,1.8581008130202674,2.329747475747683,0.8917158000522517
22,Mid East,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Carnegie Mellon University,Middle States Commission on Higher Education,-1.8261021739365029,-0.25368215771469566,-1.7743776847956034,-0.4772657455548401,-0.3268890231943322,3.4044398242505705,-0.1536165488356363,-0.46801919519718155,-0.09577847851392723,2.0269384921883122,1.3347714749159365,NA,1.2252491503941187,1.4125798781937255,NA,0.8231874192125292,-1.0095083833722862,1.5136386978795229,-0.9435448255642928,-0.8576853935247492,NA,-1.6136438245108262,0.9895752312916266,1.2240670426095703,0.25624762533198836,2.136873644258914,2.0048680843657962,2.270217605793925,1.6571791545153047,1.89113331617167,1.8581008130202674,2.329747475747683,NA
23,Mid East,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Cornell University,Middle States Commission on Higher Education,-2.1028346231904873,0.4808253713747869,-1.2471309189852817,-0.06215397400973734,0.15860548615627332,1.636679376496962,-0.08507070297598489,-0.19918310396120253,0.21725502419215503,0.8016156444510464,1.5928672232607768,NA,1.260193728345128,1.4476535985153105,NA,1.8045957041185186,-0.8594434749592251,1.648643258989667,-0.7349585847222045,-0.29723374061029273,-0.912427743466738,-1.0600532860656198,0.5776173427306593,0.5356214899762977,1.7305674781799576,1.8707603572123352,1.7453760631850554,1.9211776520472765,NA,1.89113331617167,1.8581008130202674,2.0538840355642423,NA
24,Far West,Public,Doctoral Universities: Very High Research Activity,University of California - Los Angeles,Western Association of Schools and Colleges Senior Colleges and University Commission,-1.950125558205819,1.993810582782591,-1.7179250007795488,-0.5668491369825066,0.8089507430848828,2.659256925090526,-0.11077539517335416,0.06965298727477641,0.7254262948189122,0.9164896614264151,0.17334060736415574,-0.12757961326299286,NA,-0.5001397061128985,NA,3.2239008569410883,0.42374628081233673,1.359449278085306,-0.21439958989619706,0.34199448408465555,-0.7873265788103943,1.2361526490137345,-1.0269846075766893,-1.2634515900556709,0.3365239212675973,NA,NA,NA,0.9724712489496596,NA,NA,NA,NA
25,Great Lakes,Public,Doctoral Universities: Very High Research Activity,University of Michigan - Ann Arbor,Higher Learning Commission,-1.453188324636926,1.9537807284174362,-0.1526944505608259,-0.46338662857308893,-0.535216891012689,1.0654985756179427,-0.1193436259058106,-0.43441468379268416,0.140012991056888,0.34211957654957187,0.8020353789733818,-0.15774268703518793,NA,-0.724366245399562,NA,0.6200285357800773,-0.689609536695342,1.5122175972362581,-0.47121756643606394,-0.2845888871956836,-0.6780430068398872,-0.5378958242531655,0.4517380432288978,0.10952356307592317,3.2959165641767467,1.588518992162934,1.4858840420043145,1.572137698300628,1.2837021151158619,1.6250023137263518,1.6258382113927339,1.7780205953808015,0.8917158000522517
26,Southeast,Public,Doctoral Universities: Very High Research Activity,Georgia Institute of Technology,Southern Association of Colleges and Schools Commission on Colleges,-1.6544099378902042,0.5705567227705027,-0.7182864357028074,-0.0533218086577138,-0.49083399743399553,2.144815938868363,-0.13648008737072345,-0.46801919519718155,-0.018536445378660213,0.7518369037617201,-0.31637953052092577,-0.1377726519860105,NA,-0.8045697876733958,NA,1.2379262796912134,-1.1299197470091134,1.3182373594306303,-0.4466259689828504,-1.7311186463124524,-0.7283656114569054,-1.1108199457632955,0.5109189081237118,0.3684420847771343,0.32894559812073076,1.7497997721911633,1.572381382397895,1.7815616705486172,1.2837021151158619,1.6250023137263518,1.3935756097652006,1.7780205953808015,0.8917158000522517
27,Southeast,Public,Doctoral Universities: Very High Research Activity,University of Virginia,Southern Association of Colleges and Schools Commission on Colleges,-1.6021007554092683,0.6899298678907515,-0.1239355360620807,-0.10505306286242273,-0.5524265844411619,1.0301938020536767,-0.127911856638267,-0.29999663817469463,0.286366316997394,-0.270541847319061,0.775564020168783,1.3250324153662363,NA,-0.5689626845900783,NA,1.7031917018525797,-1.096671833169094,1.5527189655693017,-0.523640334200082,-0.18797106856134224,-0.7417184806406077,-1.0211833145892633,0.7432803825001009,0.5555187602836177,1.7244433588857258,1.435302251136116,1.4858840420043145,1.362713726052639,1.0969635954161405,1.3588713112810338,1.6258382113927339,1.502157155197361,0.8917158000522517
28,Far West,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,University of Southern California,Western Association of Schools and Colleges Senior Colleges and University Commission,-1.8750365704509269,0.9088851115659264,-1.227425736828734,-0.3372128378298966,0.33070242044100273,1.9229002193215476,-0.11648754899499178,0.40569810131975004,0.6563150020136732,1.2343077750582685,-0.30976169081977606,NA,0.6747738887388912,1.5535124634859119,NA,1.8256484381529696,-0.5521249200055319,1.3864501903073343,-0.40270874622756236,-0.10889126262171568,-0.7783428172313912,-0.11804081288401673,-0.043285001918896754,-0.7327659901888409,1.365735234589827,1.556262836157288,1.4858840420043145,1.6419456890499577,1.4704406348155834,1.3588713112810338,1.6258382113927339,1.502157155197361,NA
29,Far West,"Private, Nonprofit",Baccalaureate Colleges: Arts & Sciences Focus,Claremont McKenna College,Western Association of Schools and Colleges Senior Colleges and University Commission,-1.9918885345414052,-0.7262493646160855,-1.0799031568999875,-0.3372128378298966,0.3759910873580369,0.7086681856648245,-0.10791931826253535,-0.03116054693871568,1.079113499175135,1.6555125039679537,0.7490926613641838,NA,-0.7093978581145768,1.5100014286254284,NA,1.6565248080762134,-0.7246546350672545,1.4297937599269068,-0.8779487950887137,-0.7132454006677511,NA,NA,0.6059588433958757,0.3679764039827077,-0.07403982161405856,1.5159426411502306,1.3993867016107342,1.4325217168019688,1.7816715009817856,1.6250023137263518,1.6258382113927339,1.502157155197361,NA
30,New England,"Private, Nonprofit",Baccalaureate Colleges: Arts & Sciences Focus,Bowdoin College,New England Commission on Higher Education,-2.1682211012916572,-0.6802195097085026,-0.10476292639625115,0.0059798729915865444,-0.20370384917999945,0.18918366036205217,-0.056509933867796805,-0.3672056609836894,1.4531275543564282,0.32105934010408754,-0.7531569507968092,NA,-0.5985437100827228,1.3787815658838347,NA,0.8235382981131034,-0.9160547877138528,1.6223528970892702,-0.9239019690922926,-0.5465718211420115,NA,-0.7137686410010362,0.5740840879072988,-0.03536666591727421,0.1853736679312776,NA,NA,NA,NA,NA,NA,NA,NA
31,Mid East,"Private, Nonprofit",Baccalaureate Colleges: Arts & Sciences Focus,Swarthmore College,Middle States Commission on Higher Education,-2.172439583749797,-0.7107568259020547,-1.3382008148979736,0.043832010214544276,0.01911639205180835,1.259674830221406,-0.07364639533270965,-0.09836956974771045,1.806814758712651,1.822079828582238,0.2957706418354262,NA,-0.8638345696583638,1.3852567142508965,NA,1.1231888792034554,-0.4892234613892788,1.785779471064708,-0.9461974531867565,-0.17595738966466742,NA,0.10067879322880222,0.3063449942885344,-0.6113926413141888,0.29995153340985425,1.7659278501939861,1.8318734035786357,1.823446464998215,1.7194253277485452,1.6250023137263518,1.8581008130202674,1.7780205953808015,0.8917158000522517
32,Mid East,"Private, Nonprofit",Baccalaureate Colleges: Arts & Sciences Focus,Barnard College,Middle States Commission on Higher Education,-1.980920480150241,-0.5935329347074518,-0.6884623762226275,-0.3094546038663943,-0.12127847539099733,1.2760663322333867,-0.1221997028166294,-0.19918310396120253,0.7742107367990806,1.2917447835459528,-0.5149147215554183,NA,0.7471497374539032,1.5729379085870974,NA,1.4277517649018463,-1.0562351812015025,1.2677882865947343,-0.9790549934618649,NA,NA,-1.0450006023139542,0.6050410052498885,0.15393257701715446,-0.22228369719001886,1.604647070165757,1.7280765951063395,1.4325217168019688,1.4081944615823427,1.6250023137263518,1.6258382113927339,1.2262937150139204,NA
33,Southeast,"Private, Nonprofit",Baccalaureate Colleges: Arts & Sciences Focus,Davidson College,Southern Association of Colleges and Schools Commission on Colleges,-1.7109376028292804,-0.6620404035874146,0.44964503644066345,-0.15678431706713167,-0.4165605836900596,-0.2508651244211216,-0.09649501061926012,0.1032574986792738,-0.01040570504863215,0.26553689856599266,-0.551312839911742,NA,-0.8338633773333407,1.2288720703554945,NA,0.3330095951103958,-0.8594434749592251,1.4830850340493325,-0.9027416864950032,-0.960719403027124,NA,-1.023856435906566,0.8498908018285436,0.7458552013510875,-0.06931645558433212,1.2417653151022408,1.2263920208235737,1.0834817630553204,1.0347174221829,1.3588713112810338,NA,NA,NA
34,Southeast,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Emory University,Southern Association of Colleges and Schools Commission on Colleges,-1.7459510072318427,-0.21436872132475626,-1.1251718186109747,0.12332149838275544,-0.19011724910488922,1.896421639148348,-0.13648008737072345,-0.43441468379268416,-0.034797926038716336,1.8680294353723856,-0.6141823170726645,NA,-0.6303472023752146,1.320112797345911,NA,1.5498576223016618,-0.6204179322174637,1.286973145278807,-0.41668785836715916,0.8700177987965475,-0.6977442133437329,-0.9617524155120161,0.1788703548794266,-0.27165733447111823,2.21844296707722,1.7014155381826945,1.6588787227914752,1.7815616705486172,1.2837021151158619,1.6250023137263518,NA,NA,0.8917158000522517
35,NA,Public,Baccalaureate Colleges: Arts & Sciences Focus,United States Military Academy at West Point,EXEMPT,-2.1901572100739854,-0.43305530825922545,0.2099874156177897,0.6431575162447076,-0.08957640854907356,-0.013818787632477873,0.06058921947577436,0.17046652148826855,-0.7624991855762325,-0.8142788610024727,-0.6902874736358866,NA,NA,NA,NA,0.007744854278128303,NA,0.9160658773867276,NA,NA,NA,NA,NA,NA,-0.3212718460018032,0.8950116380415476,0.7074079784620917,0.7344418093086719,0.41225568985049543,1.0927403088357157,1.161313008137667,1.2262937150139204,0.8917158000522517
36,New England,"Private, Nonprofit",Baccalaureate Colleges: Arts & Sciences Focus,Wellesley College,New England Commission on Higher Education,-1.6936418247509064,-0.6368762222079772,-1.216774287014384,-0.06846266354689695,0.10335331251749177,1.8951607543781956,-0.127911856638267,-0.43441468379268416,0.8067336981191934,1.5406384869925849,-0.7399212713945097,NA,-0.458765398278685,1.4473592735895349,NA,0.8375734541360708,-0.4047557883903105,1.5335341068852284,-0.7284524399864349,NA,NA,-0.8816542286965977,0.15932964491776527,-0.1044990965807925,0.31231730084599246,1.5965830311643454,1.7453760631850554,1.4325217168019688,1.4704406348155834,1.6250023137263518,1.6258382113927339,1.502157155197361,0.8917158000522517
37,Southeast,"Private, Nonprofit",Baccalaureate Colleges: Arts & Sciences Focus,Washington and Lee University,Southern Association of Colleges and Schools Commission on Colleges,-1.5206840439671663,-0.6762792108448186,1.0200301739991025,-0.5365674272041405,-0.5850344246214265,-0.518172695693422,-0.1536165488356363,-0.4008101723881868,-0.1445629204940959,-0.2379942091760399,-0.6836696339347368,NA,-0.16206368211786695,1.383686981313427,NA,1.0814342900351277,-1.4183678643779307,1.5107964965929936,-0.9167436220744369,-1.155220631446353,NA,NA,2.4387809757585646,2.2556770061176006,0.16547506796470696,1.6369032261714027,1.572381382397895,1.4325217168019688,1.3459482883491023,1.6250023137263518,1.6258382113927339,1.502157155197361,NA
38,New England,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Tufts University,New England Commission on Higher Education,-1.8670214537804608,-0.2972045497090249,-0.393417216365134,-0.39399104366433313,-0.4038797569532901,0.9179750575101163,-0.13362401045990463,-0.46801919519718155,0.6115959301985184,1.0026451741579416,0.5141593519733677,NA,1.3193508415805448,1.4941078826335494,NA,0.8835385901112887,-1.2943621316773175,1.5456134623529785,-0.6912177195860908,-0.9889735048063955,NA,-1.0722996805848146,1.084321150101301,0.9936608859125721,0.2220884355105872,1.8223761232038664,1.7453760631850554,1.7117536797992876,1.6571791545153047,1.89113331617167,NA,NA,NA
39,New England,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Boston College,New England Commission on Higher Education,-1.441798421999948,0.027691002051111996,-0.022746762825756214,-0.42679622925756316,-0.1466401288645365,0.32914186984896415,-0.14504831810317986,-0.46801919519718155,-0.13643218016406783,0.40338571893643504,0.5571753100308412,NA,1.2022145222316556,1.480421773584987,NA,1.9333682606292437,-1.1128464939561302,1.3878712909505995,-0.8899097963370258,-0.4314483884944051,NA,-1.2855782091434422,1.9464536964322203,1.7166303192599288,0.40114731672872944,1.4917505241459963,1.3993867016107342,1.4325217168019688,1.2837021151158619,1.6250023137263518,1.6258382113927339,1.502157155197361,0.8917158000522517
